words,,
"??,??,?,???,??,??,??,??,???,??,??,?,??,??,??,?,??,??,??,???,",,
"??,??,????,???,??,?,??,??,???,??,???,??,???,?,?,??,??,?,?,??,",,
"?,??,?,??,??,?,???,??,??,?,?,???,??,?,?,?,?,??,????,?,",??,
"??,??,??,??,??,??,???,????,??,???,???,???,??,?,?,??,??,??,??,??,",,
"??,??,??,??,??,?,???,???,??,?,?,??,?,?,???,?,?,???,???,??,",,
"????,??,??,??,??,??,?,??,??,??,??,???,??,?,??,?,??,?,??,???,",,
"??,?,?,??,??,???,??,???,???,??,???,?,??,???,?,??,???,??,???,????,",,
"???,??,?,?,?,?,??,??,????,??,????,???,??,??,??,??,????,??,??,?,",,
"??,??,?,??,??,????,??,??,?,??,??,??,?,???,????,???,??,????,?,??,",?,
"??,?,??,?,????,??,???,??,????,???,?,?,??,???,?,?,????,?,??,??,",??,??
"???,??,??,?,??,??,??,???,??,?,???,?,?,???,????,??,??,?,?,??,",,
"?,?,??,?,?,?,??,??,??,???,??,?,??,?,?,??,??,??,????,??,",,
"??,??,??,??,??,??,???,?????,??,??,??,??,??,??,?,??,??,??,????,??,",,
"??,??,??,?,?,?,??,??,???,?,?,???,??,?,???,??,???,??,??,?,",,
"??,??,?,??,???,??,???,?,?,??,??,???,??,???,?,??,??,????,??,??,",,
"??,??,???,??,???,??,??,????,??,?,??,??,??,???,???,???,??,?,?,?,",,
"?,?,??,??,???,?,?,?,??,???,??,?,?,?,??,?,????,??,???,?,",,
"??,?,??,??,??,??,?,???,??,??,??,??,????,??,???,?????,???,???,??,??,",??,
"?,??,??,?,??,?,?,??,?,???,??,??,?,??,?,??,??,??,??,???,",,
"???,??,?,??,??,?,??,?,??,?,??,?,??,??,??,????,?,??,????,??,",,
"?,?,?,???,?,?,?,??,??,??,?,??,???,??,??,??,???,??,??,??,",,
"??,??,??,??,?,?,??,??,?,??,???,?,?,???,??,?,??,???,??,?,",,
"??,???,??,??,???,?,?,?,?,??,???,????,???,??,?,??,????,???,??,?,",,
"??,??,??,??,??,?,??,??,??,??,??,?,???,?,?,?,??,?,??,??,",,
"?,??,?,??,?,?,?,??,??,??,?,??,??,?,???,?,???,??,??,???,",,
"?,??,???,???,?,??,??,????,????,??,??,?,????,?,???,???,??,???,??,???,",??,
"??,???,????,???,??,??,???,??,??,??,?,?,???,??,??,??,????,?,??,??,",,
"?,??,??,??,??,??,??,??,??,???,??,?,??,???,????,???,?,??,?,??,",??,
"??,??,?,??,??,?,???,?,?,??,??,??,??,????,??,???,??,?,???,??,",?,
"?,??,????,??,??,?,??,???,?,?,?,??,??,?,???,???,??,????,?,??,",,
"??,?,??,??,??,????,??,??,??,???,??,??,??,??,???,???,?,??,??,???,",,
"?,?,???,?,??,??,?,???,??,?,?,?,?,???,????,??,???,??,??,??,",,
"??,?,??,??,????,???,??,??,???,??,??,??,??,??,??,??,?,???,?,?????,",,
"?,???,??,???,??,???,??,?,???,??,??,?,??,???,???,??,??,??,??,??,",,
"??,?,???,??,??,?,?,??,?,?,?,??,???,??,?,??,????,???,??,?,",,
"??,?,???,??,???,??,???,???,?,??,????,????,????,??,?,??,???,?,??,??,",,
